coursecode,coursename,gsc,credits,tag,crn,avail_seats,max_seats,time,day,location,instructor,notes
ARH 409,Practicum,,1.00-9.00 cr.,,10577,10,10,tba,tba,tba,STAFF,
HPHY 112,The Science of Health,3,4.00 cr.,Lecture,17133,30,75,0830-0950,mw,110 WIL,Hopkins R,
CDS 609,Practicum II,,1.00-16.00 cr.,,11227,30,30,1100-1150,m,276 ED,Meyer J,$L
EDST 638,Eng Lng Lrn Humanities,,4.00 cr.,,12035,21,25,1100-1450,r,117 ED,Lane A,!M
GEOG 581,GIScience I,,4.00 cr.,Lecture,12531,0,0,0900-0950,mw,128 CHI,Schmidtke H,
HPHY 333,Motor Control,,4.00 cr.,Lecture,12912,16,144,1400-1520,tr,110 FEN,Christie A,!$M
BI 601,Res Cell Devel Neuro,,1.00-16.00 cr.,,11158,10,10,tba,tba,tba,Washbourne P,
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11895,12,49,1300-1350,f,214 MCK,tba,
AAD 609,Practicum,,1.00-6.00 cr.,,10089,20,20,tba,tba,tba,Tanenbaum B,!
ENVS 225,Intro to Food Studies,2 IC,4.00 cr.,+ Dis,12174,8,21,1300-1350,f,102 PETR,tba,
DAN 494,Modern Dance Lab,,3.00 cr.,,11783,15,15,1000-1150,mwf,353 GRX,Kennedy W,!$a
EDLD 663,Measure & Assess: Res,,2.00 cr.,,11983,16,24,1800-1950,t,WEB,Scalise K,!
ARH 410,Arch & Modernity,,4.00 cr.,,16664,3,33,1000-1120,tr,166 LA,Eggener K,
DAN 510,Dema African Perf,,1.00-3.00 cr.,,11795,4,5,1800-1950,tr,352 GRX,Iddrisu H,!$Aa
ARCH 550,Spatial Composition,,4.00 cr.,Lecture,10470,19,26,1200-1320,tr,177 LA,tba,!M
GEOL 606,Field Studies,,1.00-3.00 cr.,,12637,10,10,tba,tba,tba,STAFF,
GEOG 360,Watershed Sci & Pol,3,4.00 cr.,,16450,52,80,1530-1650,mw,220 HED,McDowell P,!$
ENG 260,Media Aesthetics,,4.00 cr.,,12081,0,12,1200-1350,mw,123 MCK,tba,tM
CLAS 605,Reading,,1.00-16.00 cr.,,11634,10,10,tba,tba,tba,STAFF,
CH 417,Physical Chemistry Lab,,4.00 cr.,+ Lab,11383,9,13,1400-1750,f,120 KLA,Lonergan M,A
ARTO 604,Internship,,1.00-12.00 cr.,,10768,10,10,tba,tba,tba,STAFF,
ARCH 608,Colloquium,,1.00-6.00 cr.,,10520,5,5,tba,tba,tba,STAFF,M
AAAP 611,Terminal Project,,1.00-9.00 cr.,,10045,15,15,tba,tba,tba,STAFF,
ACTG 213,Intro Accounting II,,4.00 cr.,+ Lab,10107,0,27,1600-1650,r,240B MCK,tba,A
EDST 225,Sch & Represnt in Film,,4.00 cr.,,11998,0,20,1200-1350,mw,361 PLC,Dean A,
ANTH 342,Arch Egypt & Near East,2 IC,4.00 cr.,+ Dis,16117,16,19,1400-1450,w,204 CON,tba,
ENG 265,Hist of Motion Picture,1,4.00 cr.,+ Dis,12088,0,10,1400-1450,f,260 CON,tba,
FHS 407,Sem Superv Iss Adv,,1.00 cr.,,12269,0,10,1500-1550,t,216 CLS,Cronce J,M
HIST 347,USSR & Contemp Russia,2 IC,4.00 cr.,,16747,23,56,1200-1320,tr,214 MCK,Hessler J,
ARH 403,Thesis,,4.00-6.00 cr.,,10570,10,10,tba,tba,tba,STAFF,!H
BA 352,Leadership & Communic,,4.00 cr.,,10905,25,36,0800-0950,tr,245 LIL,Severson R,!AMYkx
FLR 483,Folk & Myth Brit Isles,IP,4.00 cr.,,16557,0,15,1200-1320,tr,206 FR,Dugaw D,
ARCH 383,Architectural Des III,,6.00 cr.,,10360,5,17,1300-1650,mwf,TBA,tba,!$M
BI 401,Res Neuro Develop,,1.00-16.00 cr.,,11037,10,10,tba,tba,tba,Eisen J,
AAAP 510,Field Recording Mthods,,3.00 cr.,,16555,15,15,1000-1120,mw,101 VOL,Sardell S,
BA 453,Bus Strategy & Plan,,4.00 cr.,,10913,0,40,1000-1150,mw,285 LIL,Heidl R,!AMnY
ANTH 171,Intro Monkeys & Apes,3,4.00 cr.,+ Lab,10236,14,15,0900-0950,f,368 CON,tba,
ENG 301,Found Eng Mjr: Context,1,4.00 cr.,+ Dis,17119,0,0,0800-0850,r,192 ANS,tba,
ES 605,Reading,,1.00-9.00 cr.,,12229,10,10,tba,tba,tba,STAFF,
ASTR 122,Birth & Death of Stars,3,4.00 cr.,,10858,85,120,0900-0950,mwf,100 WIL,Brau J,
GEOL 201,Earth's Interior Heat,3,4.00 cr.,+ Lab,12583,3,22,1400-1550,t,47 COL,tba,
BI 503,Thesis,,1.00-9.00 cr.,,11108,8,10,tba,,OIMB,STAFF,
AEIS 111,Intermed Academic Writ,,4.00 cr.,,10182,8,18,0800-0950,tr,475 MCK,Wills-Gordon M,!Aa
BI 121,Intro Human Physiology,3,4.00 cr.,+ Lab,10933,13,23,1500-1550,r,130 HUE,Lombardi P,ae
BA 352,Leadership & Communic,,4.00 cr.,,10901,0,36,1000-1150,mw,245 LIL,Chinn N,!AMYkx
EC 410,Econ Prob PNW Cities,,4.00 cr.,,16072,40,60,0800-0920,tr,111 LIL,Whitelaw W,!Gd!
COLT 232,Literature and Film,1 IC,4.00 cr.,+ Dis,16513,0,20,1100-1150,f,361 PLC,tba,
AEIS 110,Intro Academic Writing,,4.00 cr.,,10174,18,18,1200-1350,tr,475 MCK,Alboszta A,!Aa
ANTH 163,Origin of Storytelling,3 IC,4.00 cr.,+ Dis,10227,0,15,1100-1150,m,204 CON,tba,
FLR 250,Intro to Folklore,1 IP,4.00 cr.,+ Dis,12395,7,10,0900-0950,f,121 MCK,tba,U
ARH 315,Hist of World Arch II,1,4.00 cr.,+ Dis,16222,0,0,tba,tba,tba,tba,
GRK 411,Top Pindar,,4.00 cr.,,12699,3,6,1200-1250,mwf,358 SC,Eckerman C,
GER 351,Diversity in Germany,1 IP,4.00 cr.,,15987,10,30,1400-1520,tr,151 STB,Boos S,K
AAD 301,Understanding Arts,1,4.00 cr.,,16846,0,40,tba,,WEB,Bretz D,
INTL 101,Intro to Intl Issues,2 IC,4.00 cr.,+ Dis,13037,8,24,1100-1150,f,175 LIL,tba,
CRWR 225,Kidd Tutorial I,,4.00 cr.,+ Dis,16771,1,10,1400-1550,m,206 DEA,tba,Ab
IARC 584,Interior Design,,6.00 cr.,,13022,25,36,1300-1650,mwf,TBA,tba,!$M
BI 525,Adv Molec Bio Res Lab,,4.00 cr.,,16180,2,2,1200-1550,tr,33 KLA,Barkan A,$
GEOG 609,Practicum,,1.00-16.00 cr.,,12559,20,20,tba,tba,tba,STAFF,
ANTH 145,Princ of Archaeology,3,4.00 cr.,,10201,0,90,tba,,WEB,Ayres W,
BI 401,Res Yeast Mol Genetic,,1.00-16.00 cr.,,11044,10,10,tba,tba,tba,Sprague G,
AEIS 101,Intro Acad Oral Comm,,4.00 cr.,,10139,0,0,1000-1150,mw,123 MCK,Rice K,!Aa
ARTD 360,Digital Imaging,,4.00 cr.,,10681,3,18,1800-2050,mw,113A MR1,tba,!$AM
ARTD 510,Interactive Spaces,,4.00 cr.,,17066,17,18,1200-1450,tr,124 MR2,tba,$AM
COLT 601,Research,,1.00-16.00 cr.,,11662,20,20,tba,tba,tba,STAFF,M
CLAS 403,Thesis,,1.00-12.00 cr.,,11630,5,5,tba,tba,tba,STAFF,
CIT 405,Reading,,1.00-4.00 cr.,,11619,10,10,tba,tba,tba,STAFF,
BI 606,Field Studies,,1.00-9.00 cr.,,11179,10,10,tba,,OIMB,STAFF,
CH 337,Organic Chemistry Lab,,3.00 cr.,+ Lab,11330,0,39,1330-1620,r,45 KLA,Koscho M,A
ARH 210,Cntmp Asian Art & Arch,1 IC,4.00 cr.,+ Dis,16670,0,0,tba,tba,tba,tba,
INTL 508,Wrk Conflict & Devel,,1.00 cr.,,13083,19,20,1000-1150,f,260 CON,Macdonald N,PM
BI 353,Sensory Physiology,,4.00 cr.,Lecture,11012,12,60,1400-1450,mwf,111 LIL,Takahashi T,!
ARTF 606,Special Problems,,1.00-12.00 cr.,,10729,10,10,tba,tba,tba,STAFF,$
ACTG 352,Intermediate Actg III,,4.00 cr.,,10112,23,46,0800-0950,tr,275 LIL,Wilson R,!AMY
CHN 405,Reading,,1.00-6.00 cr.,,11479,25,25,tba,tba,tba,STAFF,
BI 507,Sem Molecular Biology,,1.00 cr.,,11111,67,68,1600-1720,t,110 WIL,Bowerman B,
BI 601,Res Photo Micro Ecol,,1.00-16.00 cr.,,11133,10,10,tba,tba,tba,Castenholz R,
HPHY 333,Motor Control,,4.00 cr.,+ Lab,12916,0,16,1400-1550,w,075B KLA,tba,M
INTL 240,Persp Intl Development,2 IC,4.00 cr.,Lecture,13044,159,245,1400-1520,tr,182 LIL,Galvan D,AeU
ARCH 584,Arch Design,,6.00 cr.,,10495,17,17,1300-1650,mwf,TBA,tba,!$M
ENG 265,Hist of Motion Picture,1,4.00 cr.,+ Dis,12089,0,10,1400-1450,f,102 PETR,tba,
FHS 330,Indiv & Grp Interven I,,4.00 cr.,,12241,27,50,tba,,WEB,Moxley-South K,!MW
AAD 252,Art & Gender,1 IP,4.00 cr.,,10059,0,40,tba,,WEB,Voelker-Morris J,W
ARTS 401,Research,,1.00-12.00 cr.,,10822,10,10,tba,tba,tba,STAFF,$
BA 240,Managing Business Info,,4.00 cr.,+ Lab,10883,0,55,1200-1250,f,225 CHI,tba,AY
EC 503,Thesis,,1.00-16.00 cr.,,11939,10,10,tba,tba,tba,STAFF,
HIST 101,Western Civilization,2,4.00 cr.,+ Dis,12780,19,24,1100-1150,m,373 MCK,tba,U
ES 405,Reading,,1.00-5.00 cr.,,12225,10,10,tba,tba,tba,STAFF,!M
ARH 603,Dissertation,,1.00-9.00 cr.,,10590,10,10,tba,tba,tba,STAFF,
FHS 406,Sp Pr Fld Study Begin,,1.00-12.00 cr.,,12246,105,125,tba,tba,tba,Warren K,$M
ARCH 410,Housing Design,,3.00 cr.,,10389,0,15,1200-1320,tr,206 LA,Keyes P,M
CH 401,Res Inorg/Org Synth,,1.00-16.00 cr.,,11343,2,2,tba,tba,tba,Doxsee K,k
EDST 406,Sp Pr School Field Exp,,1.00-3.00 cr.,,12004,20,20,tba,tba,tba,STAFF,M
EC 201,Intro Econ Analy Micro,2,4.00 cr.,+ Dis,11876,29,49,1100-1150,f,212 LIL,tba,
CIS 601,Research,,1.00-16.00 cr.,,11600,49,50,tba,tba,tba,STAFF,
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11885,0,49,1100-1150,f,162 LIL,tba,
ARTD 410,Adv Digital Drawing,,4.00 cr.,,10698,12,18,0800-1050,tr,113 MR1,Salter M,!$AMh
FIN 462,Deriv Mkt & Fin Instit,,4.00 cr.,,12370,0,46,1400-1550,tr,232 LIL,Wu Y,!AMn
CLAS 110,Classical Mythology,1 IP,4.00 cr.,+ Dis,11622,0,25,1100-1150,r,301 DEA,Groeschl A,
BI 213,Gen Biol III: Populat,3,4.00 cr.,+ Lab,10979,0,0,1600-1750,r,112 HUE,Wetherwax P,a
EC 510,Econ Prob PNW Cities,,4.00 cr.,,16253,40,60,0800-0920,tr,111 LIL,Whitelaw W,
CDS 503,Thesis,,1.00-15.00 cr.,,11213,10,10,tba,tba,tba,STAFF,
CH 601,Res Org Synth/Mater,,1.00-16.00 cr.,,11428,10,10,tba,tba,tba,Jasti R,k
ARTD 404,Internship,,1.00-12.00 cr.,,10688,25,25,tba,tba,tba,STAFF,
ACTG 211,Intro Accounting I,,4.00 cr.,,10097,0,60,1000-1150,tr,162 LIL,Henney M,!AY
INTL 609,Practicum,,1.00-12.00 cr.,,13095,10,10,tba,tba,tba,STAFF,
ARTM 606,Special Problems,,1.00-12.00 cr.,,10748,10,10,tba,tba,tba,STAFF,$
CH 401,Res Org Chem Lab Devel,,1.00-16.00 cr.,,11369,1,2,tba,tba,tba,Koscho M,k
EDUC 630,Qual Mth I: Interp Inq,,4.00 cr.,,12046,18,25,1700-2050,w,116 ED,Lindstrom L,
HPHY 409,Prac Phys Peer Tutor,,1.00-5.00 cr.,,12948,21,25,tba,,,tba,M
ANTH 161,Intro Cultural Anth,2 IC,4.00 cr.,Lecture,10213,136,210,1400-1520,tr,150 COL,Scher P,U
HIST 557,Top US Civil War,,4.00 cr.,,12846,5,5,1000-1120,mw,105 PETR,Mohr J,
CRWR 605,Writing & Conference,,3.00 cr.,,11745,14,15,tba,tba,tba,STAFF,Mb
HPHY 409,Practicum,,1.00-15.00 cr.,,12940,50,50,tba,tba,tba,Runyeon J,M
ACTG 570,Intro Federal Taxation,,4.00 cr.,,10124,0,46,1000-1150,mw,111 LIL,Krieg K,M
HIST 104,World History,2 IC,4.00 cr.,Lecture,12781,154,200,1100-1150,mwf,180 PLC,Wolverton L,U
ARTR 409,Term Creative Proj BFA,,1.00-12.00 cr.,,10809,10,10,tba,tba,tba,STAFF,$
AAD 631,Research Propos Devel,,3.00 cr.,,10092,24,34,1400-1520,tr,249 LA,Fenn J,!MP
ANTH 171,Intro Monkeys & Apes,3,4.00 cr.,+ Lab,10233,6,15,1600-1650,r,368 CON,tba,
ARTS 606,Special Problems,,1.00-12.00 cr.,,10838,10,10,tba,tba,tba,STAFF,$
GEOG 181,Our Digital Earth,2,4.00 cr.,+ Lab,12487,24,24,0800-0850,r,442 MCK,tba,
BI 607,Sem Evol Quantitat Gen,,1.00 cr.,,11192,24,25,1600-1720,r,327 PAC,Phillips P,
CLAS 405,Reading,,1.00-4.00 cr.,,11631,10,10,tba,tba,tba,STAFF,
CH 624,Physical Chem Jour Clu,,1.00 cr.,,11442,25,25,1600-1650,m,171 ONY,Cina J,k
FR 410,Fr for Reading Knowled,,4.00 cr.,,16019,3,15,1400-1650,w,151 STB,Dickey C,A
FHS 497,Senior Project,,2.00 cr.,,12297,17,35,1000-1050,t,105 PETR,Peterson C,!MW
AAD 429,Museum Education,,4.00 cr.,,17091,13,15,1200-1350,mw,JSMA,Abia-Smith L,M
BI 601,Res Molecular Evolut,,1.00-16.00 cr.,,11156,5,5,tba,tba,tba,Thornton J,
BA 352,Leadership & Communic,,4.00 cr.,,10904,30,36,1600-1750,mw,245 LIL,Kalnbach C,!AMYkx
ANTH 162,Intro to Medical Anth,2 IC,4.00 cr.,+ Dis,16940,2,15,1300-1350,f,246 GER,tba,
CH 603,Dissertation,,1.00-16.00 cr.,,11432,50,50,tba,tba,tba,STAFF,
BI 401,Res Marine Ecology,,1.00-16.00 cr.,,11061,10,10,tba,,OIMB,Emlet R,
ANTH 610,Diss Writing Workshop,,4.00 cr.,,10344,10,10,1800-2050,t,313 CON,tba,
ANTH 163,Origin of Storytelling,3 IC,4.00 cr.,+ Dis,10225,0,15,0900-0950,m,204 CON,tba,
CDS 405,Reading,,1.00-3.00 cr.,,11206,10,10,tba,tba,tba,STAFF,M
GEOL 110,People| Rocks| & Fire,3,4.00 cr.,+ Lab,15998,4,20,1300-1350,w,254 COL,tba,
GEOG 208,Geog US & Canada,2 AC,4.00 cr.,+ Dis,16446,14,18,1500-1550,t,106 CON,tba,
HPHY 401,Research,,1.00-15.00 cr.,,12929,25,25,tba,tba,tba,STAFF,M
FLR 250,Intro to Folklore,1 IP,4.00 cr.,+ Dis,12391,9,10,1700-1750,w,106 CON,tba,
ARTP 401,Research,,1.00-12.00 cr.,,10780,10,10,tba,tba,tba,STAFF,$
ACTG 211,Intro Accounting I,,4.00 cr.,,10095,0,60,1000-1150,tr,262 LIL,Sneed J,!AY
HUM 403,Thesis,,1.00-6.00 cr.,,12999,10,10,tba,tba,tba,STAFF,
CH 409,Special Lab Problems,,1.00-16.00 cr.,,11377,5,5,tba,tba,tba,STAFF,
ARTR 601,Research,,1.00-12.00 cr.,,10813,10,10,tba,tba,tba,STAFF,$
AEIS 110,Intro Academic Writing,,4.00 cr.,,10167,18,18,1400-1550,mw,101 ALL,Adams K,!Aa
BI 401,Res Marine Biology,,1.00-16.00 cr.,,11051,10,10,tba,,OIMB,Shanks A,
ARCH 401,Res Portland,,1.00-6.00 cr.,,10367,5,5,1500-1650,t,WSB,STAFF,p
BI 401,Res Ecosystems,,1.00-16.00 cr.,,11058,5,5,tba,tba,tba,Bridgham S,
BI 401,Res Cardiovasc Physiol,,1.00-16.00 cr.,,11040,10,10,tba,tba,tba,Lombardi P,
HIST 403,Thesis,,1.00-9.00 cr.,,12823,10,10,tba,tba,tba,STAFF,
BI 353,Sensory Physiology,,4.00 cr.,+ Dis,11014,0,20,1100-1150,f,129 HUE,tba,a
GEOL 609,Practicum,,1.00-3.00 cr.,,12641,10,10,tba,tba,tba,STAFF,
DAN 409,Practicum,,1.00-16.00 cr.,,11777,10,10,tba,tba,tba,STAFF,
CDS 606,Special Problems,,1.00-12.00 cr.,,11223,5,5,tba,tba,tba,STAFF,
GEOL 331,Mineralogy,,5.00 cr.,+ Lab,12598,1,12,1400-1550,tr,143 COL,tba,
GEOG 181,Our Digital Earth,2,4.00 cr.,Lecture,12481,121,147,1400-1520,tr,129 MCK,Bone C,U
FLR 410,Religion and Ecology,,4.00 cr.,,16974,21,40,1400-1520,mw,110 WIL,Baumann J,
BI 601,Res Ecol Evol & Gen,,1.00-16.00 cr.,,11130,10,10,tba,tba,tba,Bradshaw W,
ART 233,Drawing I,,4.00 cr.,,10623,14,16,0800-1050,tr,141 LA,Morgan D,$ABM
HPHY 409,Prac Peer Advising,,1.00-15.00 cr.,,12944,24,25,tba,tba,tba,Runyeon J,M
ARCH 603,Dissertation,,1.00-9.00 cr.,,10507,10,10,tba,tba,tba,STAFF,x
BI 607,Sem Evol Gen Jour Club,,1.00 cr.,,11185,19,20,1600-1650,f,327 PAC,Streisfeld M,
ARH 210,Cntmp Asian Art & Arch,1 IC,4.00 cr.,+ Dis,16669,13,25,1500-1550,r,241 LA,tba,
FHS 407,Sem Superv Iss Begin,,1.00 cr.,,12258,0,10,0900-0950,r,103 PETR,Cronce J,M
HPHY 409,Prac Sports Nutrition,,2.00 cr.,,12952,13,15,tba,,CSN,Runyeon J,!M
FHS 407,Sem Superv Iss Adv,,1.00 cr.,,12271,0,10,1600-1650,t,192 ANS,Cronce J,M
HPHY 362,Tissue Injury & Repair,,4.00 cr.,Lecture,12922,56,132,0830-0950,tr,110 FEN,Golden G,!M
FHS 406,Sp Pr Intl Field Study,,1.00-12.00 cr.,,12248,25,25,tba,tba,tba,Warren K,
IST 605,Reading,,1.00-6.00 cr.,,13098,10,10,tba,tba,tba,STAFF,
BI 380,Evolution,,4.00 cr.,+ Dis,16170,0,25,1600-1650,w,5 KLA,tba,a
HIST 245,Russia/Amer & World,2,4.00 cr.,,16364,22,35,0830-0950,tr,189 PLC,Kimball A,
ART 333,Drawing II,,4.00 cr.,,10627,0,18,1200-1450,mw,290 LA,Reaves J,!$ABMc
CRES 515,Conflict and Gender,,4.00 cr.,,11714,2,10,1000-1150,mw,282 KNI,tba,M
DANC 170,Modern I,,1.00 cr.,,11818,28,35,0900-0950,tr,353 GRX,tba,$AL
BI 457,Top Deep Sea Ecology,,4.00-8.00 cr.,,16007,1,16,0800-1450,m,OIMB,Young C,!$
CH 401,Res Chemical Education,,1.00-4.00 cr.,,11364,2,2,tba,tba,tba,Exton D,k
ARCH 407,Sem Thesis Design Prep,,3.00 cr.,,10378,8,8,1300-1550,t,WSB,tba,!Mp
ENVS 631,Theory and Practice,,4.00 cr.,,12208,6,10,1400-1550,tr,249 COL,Norgaard K,M
ARTF 199,Special Studies,,1.00-5.00 cr.,,10716,10,10,tba,tba,tba,STAFF,$
HPHY 609,Prac Athletic Training,,1.00-15.00 cr.,,12984,15,15,tba,tba,tba,Golden G,
ARTD 406,Special Problems,,1.00-8.00 cr.,,10691,24,25,tba,tba,tba,STAFF,$
EC 607,Sem Computational Econ,,4.00 cr.,,11954,18,18,1200-1350,tr,410 PLC,Evans D,
ARCH 484,Arch Design,,6.00 cr.,,10432,17,17,1300-1650,mwf,TBA,tba,!$M
INTL 656,Res/Writ in Intl Stu,,1.00 cr.,,17105,15,15,1400-1450,w,348 PLC,Weiss A,
CH 401,Res Nanomat Mass Spec,,1.00-16.00 cr.,,11372,4,4,tba,tba,tba,Prell J,k
HPHY 472,Science Athletic Perfm,,4.00 cr.,+ Lab,16872,0,15,1200-1350,r,303 GER,tba,M
FHS 407,Sem Superv Iss Adv,,1.00 cr.,,12275,2,10,1600-1650,r,222 LIB,Cronce J,M
INTL 101,Intro to Intl Issues,2 IC,4.00 cr.,+ Dis,13034,17,24,1700-1750,r,123 MCK,tba,
ARTR 406,Special Problems,,1.00-8.00 cr.,,10807,10,10,tba,tba,tba,STAFF,$
ARTR 605,Reading,,1.00-6.00 cr.,,10815,10,10,tba,tba,tba,STAFF,
DAN 613,MFA Profess Paper,,1.00-16.00 cr.,,11815,10,10,tba,tba,tba,STAFF,
CIS 551,Data-Base Processing,,4.00 cr.,,11598,11,15,1000-1050,mwf,110 WIL,Wilson C,
HPHY 409,Prac Anat Grader,,1.00-5.00 cr.,,12943,47,50,tba,,,tba,M
AEIS 101,Intro Acad Oral Comm,,4.00 cr.,,15970,0,0,1400-1550,tr,154 STB,Mildon T,!Aa
CRES 618,Adjudicat & Courts,,2.00 cr.,,11728,28,30,1200-1350,w,282 KNI,Weiner M,M
CPSY 609,Prac Intl Higher Educ,,1.00-4.00 cr.,,11698,10,10,tba,tba,tba,Schafermeyer A,
EC 311,Interm Microec Theory,,4.00 cr.,,11899,0,90,1200-1350,tr,221 MCK,Kuhn M,!G
ENVS 201,Intro Env Stu: Soc Sci,2,4.00 cr.,+ Dis,12154,19,22,0900-0950,f,105 FEN,tba,A
IARC 444,Furniture: Theo/Analy,,3.00 cr.,,13009,0,20,1400-1520,tr,206 LA,Zimmer L,!M
BI 121,Intro Human Physiology,3,4.00 cr.,+ Lab,10930,0,22,1200-1250,r,130 HUE,Lombardi P,ae
CDS 601,Research,,1.00-9.00 cr.,,11217,6,6,tba,tba,tba,STAFF,
CPSY 609,Prac Doctoral Extern,,1.00-12.00 cr.,,11697,18,20,tba,tba,tba,McWhirter E,!$M
ACTG 213,Intro Accounting II,,4.00 cr.,+ Lab,10104,9,26,0800-0850,r,373 MCK,tba,A
EC 607,Sem International Econ,,4.00 cr.,,11953,18,18,1200-1320,mw,412 PLC,Cristea A,
CIT 381,Database Systems,,4.00 cr.,+ Lab,11617,23,30,0800-0850,w,026 KLA,tba,M
GEOL 520,Geocommunication,,3.00 cr.,,12621,23,25,1400-1520,mw,30 PAC,Sutherland D,
ENVS 411,Top Cultures of Oil,,4.00 cr.,,12188,4,25,1400-1550,tr,142 COL,Bacon J,!BM
GEOL 403,Thesis,,1.00-6.00 cr.,,12603,10,10,tba,tba,tba,STAFF,!HM
ARCH 471,Building Enclosure,,4.00 cr.,+ Lab,10427,5,15,0830-0950,w,104 PAC,tba,M
ARTR 405,Reading,,1.00-6.00 cr.,,10806,10,10,tba,tba,tba,STAFF,
ITAL 150,Cul Legacies Italy,1 IC,4.00 cr.,Lecture,13110,38,70,1200-1320,mw,101 LIB,Lollini M,AU
ENG 104,Intro Lit: Fiction,1,4.00 cr.,,12050,0,12,1000-1050,mwf,191 ANS,tba,
DAN 255,Dance Production I,,3.00 cr.,,11755,12,25,1800-1950,tr,353 GRX,Craig J,!
ARCH 470,Building Construction,,4.00 cr.,+ Lab,10422,0,16,0830-1020,w,278 LA,tba,M
CH 503,Thesis,,1.00-16.00 cr.,,11391,5,5,tba,tba,tba,STAFF,
ARTD 510,Adv Digital Drawing,,4.00 cr.,,16285,0,0,1500-1750,tr,113 MR1,Warren T,$AM
DANC 199,Sp St Hip Hop I,,1.00 cr.,,11828,52,60,1500-1550,tr,352 GRX,tba,$A
ANTH 150,World Archaeology,2 IC,4.00 cr.,+ Dis,10205,12,15,1000-1050,f,204 CON,tba,
FHS 407,Sem Superv Iss Adv,,1.00 cr.,,12268,0,10,1500-1550,t,192 ANS,Cronce J,M
CIS 610,Supervised Consulting,,1.00-2.00 cr.,,11611,10,10,tba,tba,tba,Hennessy M,
ARCH 406,Sp Pr Electric Light,,1.00 cr.,,10374,10,10,tba,tba,tba,Cartwright V,M
EDLD 607,Sem Superv Instr Lead,,1.00-3.00 cr.,,11970,6,6,1630-2020,f 9/30,276 ED,Hollenbeck K,ae
EC 581,International Trade,,4.00 cr.,,16283,0,80,1000-1120,mw,221 MCK,Cristea A,
ANTH 163,Origin of Storytelling,3 IC,4.00 cr.,+ Dis,16110,0,15,1500-1550,m,204 CON,tba,
CIS 210,Computer Science I,4,4.00 cr.,+ Lab,11541,0,19,1100-1150,t,026 KLA,tba,
CH 401,Res Solid State Chem,,1.00-16.00 cr.,,11352,3,3,tba,tba,tba,Page C,k
BI 454,Estuarine Biology,,5.00 cr.,,11101,7,24,0830-1650,t,OIMB,Emlet R,!$f
EDLD 605,Reading,,1.00-16.00 cr.,,11965,35,35,tba,tba,tba,STAFF,a
ENG 325,Lit of the Northwest,,4.00 cr.,,17039,22,30,1300-1350,mwf,144 HED,Witte J,!
EDLD 665,Measure & Assess: Lit,,2.00 cr.,,11984,21,24,1700-1850,r,WEB,Saez L,!W
ACTG 213,Intro Accounting II,,4.00 cr.,+ Lab,10106,0,26,1600-1650,r,123 MCK,tba,A
ARCH 484,Arch Design,,6.00 cr.,,10433,17,17,1300-1650,mwf,TBA,tba,!$M
ANTH 161,Intro Cultural Anth,2 IC,4.00 cr.,+ Dis,10220,14,15,1100-1150,f,360 CON,tba,
EALL 608,EALL Professionalism,,2.00 cr.,,16124,10,10,1200-1350,m,193 ESL,Larson W,
HPHY 212,Evid| Infer| & Biostat,,4.00 cr.,+ Dis,12873,9,20,0900-0950,w,B012 ONY,tba,B
ARB 410,Islamic Texts,,4.00 cr.,,16186,6,10,1000-1120,tr,358 SC,Colby R,
AAA 408,Wrk Indv Brand Strateg,,1.00 cr.,,17052,21,25,tba,,WEB,Dellabough K,
INTL 260,Cul| Capital| & Global,2 IC,4.00 cr.,+ Dis,13059,21,31,1300-1350,f,140 ALL,tba,U
ARCH 683,Arch Design Track II,,6.00 cr.,,10538,9,17,1300-1650,mwf,TBA,Larco N,M
GEOL 405,Reading,,1.00-21.00 cr.,,12604,10,10,tba,tba,tba,STAFF,
ENG 335,Inventing Arguments,1,4.00 cr.,,12096,0,30,1200-1320,tr,248 GER,Frank D,!
GEOL 101,Earth's Dynam Interior,3,4.00 cr.,+ Lab,12564,9,28,1400-1450,w,47 COL,tba,
ARTR 199,Special Studies,,1.00-5.00 cr.,,10800,50,50,tba,tba,tba,STAFF,$
HIST 380,Latin America,2 IC,4.00 cr.,,12821,34,80,1000-1120,tr,242 GER,Haskett R,!
CH 610,Chem & Phys Materials,,4.00 cr.,,11440,30,30,0800-0950,tr,107 KLA,Johnson D,
EC 201,Intro Econ Analy Micro,2,4.00 cr.,+ Dis,11878,30,49,1400-1450,f,248 GER,tba,
AAAP 609,Prac Intern II,,1.00-6.00 cr.,,10043,10,10,tba,tba,tba,STAFF,
CIS 111,Intro Web Programming,4,4.00 cr.,Lecture,11519,38,113,0830-0950,tr,129 MCK,Hennessy M,AU
ANTH 150,World Archaeology,2 IC,4.00 cr.,+ Dis,10209,1,15,1400-1450,r,204 CON,tba,
CINE 404,Internship,,1.00-3.00 cr.,,11503,20,20,tba,tba,tba,Aronson M,!rM
AAA 508,Wrk Job & Intern Srch,,1.00 cr.,,17034,25,25,tba,,WEB,Grieger K,
FLR 250,Intro to Folklore,1 IP,4.00 cr.,+ Dis,12390,1,10,1600-1650,w,121 MCK,tba,
FIN 564,Commercial Banking,,4.00 cr.,,12376,0,47,1400-1550,mw,232 LIL,Moulton J,!M
